#SampleID	Type_of_soil	Treatments	T	Loc	FW	Root_L	Stem_L	Root_DW	Treatment	TOC	Root_FW	Leaves_No	SMC	pH	Silt	WHC	TN	Plot	EC	DW	Sand	Clay	Arbus_per	Cod_No	Code	Month
Non-rizospheric33	Non-rizospheric	TSD	3.33333333333333	41.9666666666667	38	45	1.86666666666667	3	41	8.83333333333333	5.66666666666667	6.34	7.7	26.04	554.5	2.4	3	1.92	8.66666666666667	59.94	14.01	73.3333333333333	63	8.33333333333333	2	
Rizospheric11	Rizospheric	TC	5.33333333333333	136.066666666667	62.3333333333333	75	5.33333333333333	1	33.3266666666667	38.2666666666667	10	7.74333333333333	7.91333333333333	30.0266666666667	601.733333333333	1.72333333333333	1	1.96333333333333	18.7	55.52	14.4433333333333	36.11	40.6666666666667	10	2	
Rizospheric12	Rizospheric	TC	3	168.266666666667	51	79.3333333333333	5.73333333333333	1	36	61.7	9.33333333333333	5.17	7.6	28.86	590.4	1.81	2	1.77	20.0333333333333	59.04	12.09	60.05	37.3333333333333	10	2	
Rizospheric13	Rizospheric	TC	4.66666666666667	182.433333333333	60.3333333333333	82.6666666666667	12.5333333333333	1	41	58.5666666666667	9.33333333333333	6.34	7.7	26.04	554.5	2.4	3	1.92	27.0333333333333	59.94	14.01	73.3333333333333	41	10.6666666666667	2	
Rizospheric21	Rizospheric	TD	4.33333333333333	83.3666666666667	43.6666666666667	68	4.13333333333333	2	34.9933333333333	19.9	8.33333333333333	8.13333333333333	7.94666666666667	29.0866666666667	589.766666666667	1.92	1	2.01333333333333	11.2666666666667	55.82	15.0833333333333	76.6666666666667	39.3333333333333	10.6666666666667	2	
Rizospheric22	Rizospheric	TD	2.33333333333333	78.7333333333333	45	60	2.53333333333333	2	36	14.7	8	5.17	7.6	28.86	590.4	1.81	2	1.77	9.96666666666667	59.04	12.09	52.5	46.6666666666667	15	2	
Rizospheric23	Rizospheric	TD	4	63.5666666666667	44	60	4	2	41	15.3333333333333	6.66666666666667	6.34	7.7	26.04	554.5	2.4	3	1.92	9.2	59.94	14.01	77.7766666666667	46.3333333333333	16.3333333333333	2	
Rizospheric31	Rizospheric	TSD	2	39.0666666666667	43.6666666666667	41	1.73333333333333	3	31.99	7.13333333333333	5.33333333333333	9.03	8.07	30.61	607.4	1.68	1	2.06	8.53333333333333	53.76	15.62	39.5233333333333	36.3333333333333	8.33333333333333	2	
Rizospheric32	Rizospheric	TSD	3.5	46.55	32	43.5	1.6	3	36	13.05	5.5	5.17	7.6	28.86	590.4	1.81	2	1.77	6.25	59.04	12.09	66.25	41.5	12	2	
Rizospheric33	Rizospheric	TSD	3.33333333333333	41.9666666666667	38	45	1.86666666666667	3	41	8.83333333333333	5.66666666666667	6.34	7.7	26.04	554.5	2.4	3	1.92	8.66666666666667	59.94	14.01	73.3333333333333	35.6666666666667	8.33333333333333	2	
Roots11	Roots	TC	5.33333333333333	136.066666666667	62.3333333333333	75	5.33333333333333	1	33.3266666666667	38.2666666666667	10	7.74333333333333	7.91333333333333	30.0266666666667	601.733333333333	1.72333333333333	1	1.96333333333333	18.7	55.52	14.4433333333333	36.11	14.3333333333333	10	2	
Roots12	Roots	TC	3	168.266666666667	51	79.3333333333333	5.73333333333333	1	36	61.7	9.33333333333333	5.17	7.6	28.86	590.4	1.81	2	1.77	20.0333333333333	59.04	12.09	60.05	11.3333333333333	10	2	
Roots13	Roots	TC	4.66666666666667	182.433333333333	60.3333333333333	82.6666666666667	12.5333333333333	1	41	58.5666666666667	9.33333333333333	6.34	7.7	26.04	554.5	2.4	3	1.92	27.0333333333333	59.94	14.01	73.3333333333333	14.6666666666667	10.6666666666667	2	
Roots21	Roots	TD	4.33333333333333	83.3666666666667	43.6666666666667	68	4.13333333333333	2	34.9933333333333	19.9	8.33333333333333	8.13333333333333	7.94666666666667	29.0866666666667	589.766666666667	1.92	1	2.01333333333333	11.2666666666667	55.82	15.0833333333333	76.6666666666667	13.3333333333333	10.6666666666667	2	
Roots22	Roots	TD	2.33333333333333	78.7333333333333	45	60	2.53333333333333	2	36	14.7	8	5.17	7.6	28.86	590.4	1.81	2	1.77	9.96666666666667	59.04	12.09	52.5	20.6666666666667	15	2	
Roots23	Roots	TD	4	63.5666666666667	44	60	4	2	41	15.3333333333333	6.66666666666667	6.34	7.7	26.04	554.5	2.4	3	1.92	9.2	59.94	14.01	77.7766666666667	20.3333333333333	16.3333333333333	2	
Roots31	Roots	TSD	2	39.0666666666667	43.6666666666667	41	1.73333333333333	3	31.99	7.13333333333333	5.33333333333333	9.03	8.07	30.61	607.4	1.68	1	2.06	8.53333333333333	53.76	15.62	39.5233333333333	10.3333333333333	8.33333333333333	2	
Roots32	Roots	TSD	2.66666666666667	43.1	33.6666666666667	44	2.13333333333333	3	36	12.2666666666667	5.33333333333333	5.17	7.6	28.86	590.4	1.81	2	1.77	7.46666666666667	59.04	12.09	57.5	11.3333333333333	8.66666666666667	2	
Roots33	Roots	TSD	3.33333333333333	41.9666666666667	38	45	1.86666666666667	3	41	8.83333333333333	5.66666666666667	6.34	7.7	26.04	554.5	2.4	3	1.92	8.66666666666667	59.94	14.01	73.3333333333333	9.66666666666667	8.33333333333333	2	
Seeds00	Seeds	T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33333333333333	
Uncultivated11	Uncultivated	TC	0	0	0	0	0	1	31.99	0	0	9.03	8.07	30.61	607.4	1.68	1	2.06	0	53.76	15.62	0	0	0	2	
Uncultivated12	Uncultivated	TC	0	0	0	0	0	1	36	0	0	5.17	7.6	28.86	590.4	1.81	2	1.77	0	59.04	12.09	0	0	0	2	
Uncultivated13	Uncultivated	TC	0	0	0	0	0	1	41	0	0	6.34	7.7	26.04	554.5	2.4	3	1.92	0	59.94	14.01	0	0	0	2	
Uncultivated21	Uncultivated	TD	0	0	0	0	0	2	31.99	0	0	9.03	8.07	30.61	607.4	1.68	1	2.06	0	53.76	15.62	0	0	0	3	
Uncultivated22	Uncultivated	TSD	0	0	0	0	0	2	36	0	0	5.17	7.6	28.86	590.4	1.81	2	1.77	0	59.04	12.09	0	0	0	2	
Uncultivated23	Uncultivated	TD	0	0	0	0	0	2	41	0	0	6.34	7.7	26.04	554.5	2.4	3	1.92	0	59.94	14.01	0	0	0	2	
Uncultivated33	Uncultivated	TSD	0	0	0	0	0	3	41	0	0	6.34	7.7	26.04	554.5	2.4	3	1.92	0	59.94	14.01	0	0	0	6	
P2	Uncultivated	T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
P3	Uncultivated	T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
S2	Seeds	T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
S4	Seeds	T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
